number,mae,duration,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,params_model_size_reg,params_n_estimators,params_subsample
17,81.59861926013768,44.882886,0.7543082573149598,7,1.1519571777760375e-05,0.3440280620834263,87.11391255364371,97,0.7839989357423296
47,81.97072669643501,76.149529,0.9324510412618837,8,0.0008674318214060391,0.14585731757609718,0.04336823219039035,163,0.6775109648133633
45,84.65128875541899,69.276851,0.8893858767203804,8,0.000669771400529141,0.13544386439898348,0.044341087395863205,148,0.6841505817025525
44,85.89968618259736,56.145307,0.8564662908652014,8,0.0003606750473064268,0.14852822500833698,0.12107207279881978,121,0.6695978455275344
49,86.10672475669747,72.879119,0.9253948346668439,5,0.00017613942741111452,0.15091707561514708,0.05828089483410145,183,0.6423811593198507
42,86.62369850668712,46.99775,0.825863794572985,8,0.0008207520606967183,0.1723670013070483,0.6416811141858163,95,0.750049472144443
40,86.64880868122039,62.591383,0.8070831097909512,9,0.0006778214457938877,0.12421514488704707,3.2018839253606486,124,0.743338004884419
36,87.19659797448158,34.215071,0.7659349010934916,8,4.9501040204181875e-05,0.3997836787913221,0.55979436570324,68,0.756083785677521
46,87.8023509857177,62.178279,0.8894514251750207,6,0.008275826602400923,0.10209847776783232,0.14989752155514038,148,0.6637229999593572
27,87.99756164198686,57.431416,0.5516406341777578,10,2.238011132821641e-06,0.19237804712570256,20.916321499143994,111,0.7678632309814717
22,88.00118838727359,34.104552,0.7780902602810388,7,3.580328461775073e-05,0.28225938119393124,11.27571748455343,71,0.7877150911094047
19,88.02911789269216,36.996613,0.7504066324999713,7,2.7379497915140363e-06,0.3879029135632637,22.079598789380366,76,0.7653141808310577
33,88.044700944348,50.186322,0.6925744437597774,7,8.629241309187858e-05,0.3578601789902457,1.748510725061933,106,0.8180240420903229
26,88.27727330810592,41.699838,0.9142341641364886,7,2.3998307448655377e-07,0.3082629863407293,0.1762296231050948,86,0.715134234185946
16,88.48136123875422,44.702046,0.7999752969567818,7,5.032003637621784e-06,0.3134154997154637,41.99202762798924,98,0.6764410928153916
43,88.48863655365574,49.822155,0.8151690120508381,9,0.0010566400375533291,0.2019613332911929,0.8667727498702449,97,0.7377129846550848
48,88.78611533097747,77.700209,0.9660837803995366,8,0.0014807625258551709,0.08327688918151298,0.020262887526716487,165,0.6904537345986108
32,89.45786800008223,38.970448,0.7361663290246331,9,2.3665349300642414e-05,0.1804654457101656,23.84095174489686,73,0.7808316453565383
41,89.53112656716013,62.240274,0.7590918364976618,9,5.547358399087101e-05,0.1223354381898971,3.8183826685643933,123,0.7422794177415599
29,90.18686582824671,55.248038,0.4848947397340232,10,0.003416638587630387,0.15503434557592363,2.8517868166134894,113,0.7375666358646814
